Y	M	D	H	T
2020	12	31	23	9.02
2021	1	1	0	9.02
2021	1	1	1	9.51
2021	1	1	2	9.08
2021	1	1	3	8.9
2021	1	1	4	9.04
2021	1	1	5	8.82
2021	1	1	6	8.9
2021	1	1	7	12.58
2021	1	1	8	15.65
2021	1	1	9	17.37
2021	1	1	10	18.37
2021	1	1	11	18.69
2021	1	1	12	18.62
2021	1	1	13	18.14
2021	1	1	14	17.36
2021	1	1	15	16.24
2021	1	1	16	14.83
2021	1	1	17	13.36
2021	1	1	18	12.76
2021	1	1	19	12.31
2021	1	1	20	11.87
2021	1	1	21	10.83
2021	1	1	22	9.65
2021	1	1	23	8.83
2021	1	2	0	7.99
2021	1	2	1	7.33
2021	1	2	2	7.08
2021	1	2	3	7.23
2021	1	2	4	7.36
2021	1	2	5	7.37
2021	1	2	6	7.66
2021	1	2	7	10.8
2021	1	2	8	13.99
2021	1	2	9	16.39
2021	1	2	10	18.09
2021	1	2	11	19.18
2021	1	2	12	19.69
2021	1	2	13	19.48
2021	1	2	14	18.55
2021	1	2	15	17.33
2021	1	2	16	15.1
2021	1	2	17	11.46
2021	1	2	18	9.93
2021	1	2	19	8.65
2021	1	2	20	8.22
2021	1	2	21	8.26
2021	1	2	22	8.57
2021	1	2	23	8.86
2021	1	3	0	8.75
2021	1	3	1	8.36
2021	1	3	2	7.85
2021	1	3	3	7.42
2021	1	3	4	7.26
2021	1	3	5	7.05
2021	1	3	6	7.53
2021	1	3	7	12.44
2021	1	3	8	16.05
2021	1	3	9	17.9
2021	1	3	10	18.92
2021	1	3	11	19.76
2021	1	3	12	20.18
2021	1	3	13	20.08
2021	1	3	14	19.5
2021	1	3	15	18.33
2021	1	3	16	16.08
2021	1	3	17	12.32
2021	1	3	18	10.6
2021	1	3	19	9.3
2021	1	3	20	8.39
2021	1	3	21	8.37
2021	1	3	22	8.78
2021	1	3	23	9.12
2021	1	4	0	9.15
2021	1	4	1	8.8
2021	1	4	2	8.26
2021	1	4	3	7.8
2021	1	4	4	7.46
2021	1	4	5	7.17
2021	1	4	6	7.55
2021	1	4	7	12.59
2021	1	4	8	16.34
2021	1	4	9	18.57
2021	1	4	10	19.94
2021	1	4	11	20.72
2021	1	4	12	21.03
2021	1	4	13	20.87
2021	1	4	14	20.09
2021	1	4	15	18.74
2021	1	4	16	16.12
2021	1	4	17	11.98
2021	1	4	18	10.56
2021	1	4	19	9.44
2021	1	4	20	8.73
2021	1	4	21	8.74
2021	1	4	22	9.21
2021	1	4	23	9.71
2021	1	5	0	9.99
2021	1	5	1	9.76
2021	1	5	2	9.29
2021	1	5	3	8.86
2021	1	5	4	8.66
2021	1	5	5	8.38
2021	1	5	6	8.53
2021	1	5	7	12.29
2021	1	5	8	15.94
2021	1	5	9	18.32
2021	1	5	10	19.66
2021	1	5	11	19.83
